,time,BTCUSDT,ETHUSDT,SOLUSDT,BCHUSDT,XRPUSDT,LTCUSDT,ADAUSDT,LINKUSDT,DOGEUSDT,WIFUSDT,MATICUSDT,UNIUSDT,AAVEUSDT,DYDXUSDT,CRVUSDT,z_score_BTCUSDT,z_score_ETHUSDT,z_score_SOLUSDT,z_score_BCHUSDT,z_score_XRPUSDT,z_score_LTCUSDT,z_score_ADAUSDT,z_score_LINKUSDT,z_score_DOGEUSDT,z_score_WIFUSDT,z_score_MATICUSDT,z_score_UNIUSDT,z_score_AAVEUSDT,z_score_DYDXUSDT,z_score_CRVUSDT
1753,2024-04-12 00:00:00,70244.1,3512.7,173.0664,615.73,0.60883,99.05,0.58813,17.577,0.195369,3.4671,0.8807,9.0687,117.792,2.993,0.605,0.5482819043013589,-0.3452180627983962,0.4911351245496337,-0.2756474403910879,-0.766433658383854,2.045020944014912,0.7336826175283826,1.6207502354474392,0.40662454939134035,-0.9332027321463022,-0.22586097764987315,-1.1284886853374352,-1.527927137651095,-0.717966966286211,-1.070400826368115
1754,2024-04-12 00:15:00,70280.0,3519.33,172.9942,612.41,0.60823,99.21,0.58703,17.649,0.19543,3.4666,0.8803,9.1058,117.711,2.991,0.6052,0.5876701973863865,-0.14341815153156906,0.4609488704707119,-0.4887666221916631,-0.8790545719964701,2.178821598664547,0.5626375818466108,2.1266864990617993,0.41467321660509604,-0.9294027542823442,-0.2623997544574187,-1.0768593626223066,-1.5300354092713342,-0.7740331424763007,-1.0338620480635519
1755,2024-04-12 00:30:00,70325.1,3525.23,173.3685,611.53,0.60806,98.9,0.58744,17.825,0.1955,3.4774,0.8826,9.119,118.185,2.998,0.6063,0.6388517332501128,0.036135956891526225,0.6356342093550487,-0.5467230042629533,-0.9052257955524974,1.8654094122487752,0.6491120067573142,3.3228838652699104,0.4248827602915078,-0.8085850841352298,0.023017714254307403,-1.0519547300984784,-1.396465881078507,-0.5462370864380621,-0.8616283253202119
1756,2024-04-12 00:45:00,70310.7,3524.35,173.4135,612.26,0.60816,99.14,0.58749,17.738,0.195717,3.4568,0.8823,9.0906,118.108,3.003,0.6063,0.6143356917392045,0.008546535165099381,0.6582165810129531,-0.4933211966579212,-0.8779566661174656,2.0773317568803176,0.674728258239364,2.6498604152641363,0.4679849859519776,-1.0136510242537815,0.00036724922270353903,-1.0729394238506518,-1.400113341797211,-0.37776793780330387,-0.8566208152932177
1757,2024-04-12 01:00:00,70212.9,3517.84,172.9428,611.34,0.60746,98.85,0.58678,17.753,0.195346,3.4569,0.8806,9.0258,117.633,2.998,0.6054,0.48385660897223487,-0.1926480067947944,0.4407348872997533,-0.5610956979753436,-1.0121283287984573,1.7822024212838052,0.5634332593396301,2.6944248763198377,0.3781228532097135,-1.0033679558230666,-0.19828137911091484,-1.1336115606749824,-1.5000007753035753,-0.5322707655505359,-0.9881816442154963
1758,2024-04-12 01:15:00,70187.0,3511.0,172.7718,612.18,0.6072,98.59,0.58695,17.774,0.194907,3.442,0.8814,8.981,117.442,2.997,0.6041,0.44437790903039387,-0.40516607424320467,0.3608519937146458,-0.4952156085414144,-1.0557838411230707,1.5200799287202942,0.5999666546533274,2.7696805311385475,0.2719007894425847,-1.1480486363298255,-0.09088474513932879,-1.1715924186840445,-1.52873883229209,-0.5577162837004321,-1.1800715113072342
1759,2024-04-12 01:30:00,70222.1,3511.51,172.9497,611.52,0.60716,98.56,0.58783,17.751,0.194762,3.4324,0.8803,9.0002,117.643,2.998,0.6033,0.48315867782338084,-0.39063648814775376,0.44321410726571775,-0.5500784659102799,-1.0546355152617775,1.4800549452725054,0.7630141595429665,2.557095970430434,0.23300429782983334,-1.2351694607040489,-0.2190229655521838,-1.139210892088224,-1.462464675772031,-0.517672190075174,-1.2939106842484605
1760,2024-04-12 01:45:00,70296.9,3509.39,172.6252,612.2,0.60758,98.56,0.58899,17.764,0.195222,3.4536,0.8811,8.9907,117.99,3.0,0.6041,0.5721502149711702,-0.45605082733863905,0.2930383329127629,-0.4934715626264674,-0.9602909310620815,1.469501825864664,0.973117500884125,2.585998553915045,0.3318017262127799,-1.006855447441687,-0.10865718961696087,-1.1387258480291091,-1.362589351532273,-0.44463862597114817,-1.1580045282469007
1761,2024-04-12 02:00:00,70555.4,3523.64,173.4996,613.27,0.60946,98.96,0.59068,17.819,0.196953,3.4916,0.8838,9.0372,118.493,3.006,0.6061,0.8941671862557794,-0.0202316963814182,0.6958241364533848,-0.3963452968191825,-0.5715324595979162,1.8292660191235999,1.2774992180144236,2.873530963588339,0.7201616534907244,-0.6087646952959487,0.2502502630561663,-1.0765504566690702,-1.2276783571922563,-0.23830974874795208,-0.8356065919297464
1762,2024-04-12 02:15:00,70717.5,3527.99,173.9725,614.5,0.60977,98.85,0.59011,17.77,0.19681,3.4955,0.8865,9.0192,118.687,3.013,0.6084,1.090480984789368,0.11176907060543637,0.9101499898306287,-0.27163478143226827,-0.5033431491628508,1.7159487103316324,1.185930592256756,2.508451147576207,0.6812086724747003,-0.5620551720715175,0.6214466168319588,-1.0861244866734996,-1.1684844276042563,0.004198553823229434,-0.464178182510273
