,time,BTCUSDT,ETHUSDT,SOLUSDT,BCHUSDT,XRPUSDT,LTCUSDT,ADAUSDT,LINKUSDT,DOGEUSDT,WIFUSDT,MATICUSDT,UNIUSDT,AAVEUSDT,DYDXUSDT,CRVUSDT,z_score_BTCUSDT,z_score_ETHUSDT,z_score_SOLUSDT,z_score_BCHUSDT,z_score_XRPUSDT,z_score_LTCUSDT,z_score_ADAUSDT,z_score_LINKUSDT,z_score_DOGEUSDT,z_score_WIFUSDT,z_score_MATICUSDT,z_score_UNIUSDT,z_score_AAVEUSDT,z_score_DYDXUSDT,z_score_CRVUSDT
64,2024-03-20 20:00:00,67058.5,3461.46,186.5709,405.78,0.61169,84.73,0.63684,18.262,0.147337,2.5828,1.0092,11.8192,119.326,3.364,0.6715,,,,,,,,,,,,,,,
65,2024-03-20 20:00:00,67058.5,3461.46,186.5709,405.78,0.61169,84.73,0.63684,18.262,0.147337,2.5828,1.0092,11.8192,119.326,3.364,0.6715,,,,,,,,,,,,,,,
66,2024-03-20 21:00:00,67684.1,3499.08,190.1989,404.3,0.613,84.69,0.64061,18.436,0.1504,2.6383,1.0117,11.8341,120.226,3.385,0.6722,,,,,,,,,,,,,,,
67,2024-03-20 21:00:00,67684.1,3499.08,190.1989,404.3,0.613,84.69,0.64061,18.436,0.1504,2.6383,1.0117,11.8341,120.226,3.385,0.6722,,,,,,,,,,,,,,,
68,2024-03-20 22:00:00,67676.9,3522.04,190.052,409.05,0.6128,84.82,0.64117,18.394,0.151662,2.6048,1.0147,11.9227,120.584,3.374,0.6733,,,,,,,,,,,,,,,
69,2024-03-20 22:00:00,67676.9,3522.04,190.052,409.05,0.6128,84.82,0.64117,18.394,0.151662,2.6048,1.0147,11.9227,120.584,3.374,0.6733,,,,,,,,,,,,,,,
70,2024-03-20 23:00:00,67833.3,3515.24,191.9564,409.4,0.6112,84.72,0.64031,18.414,0.152146,2.601,1.0103,11.9025,120.144,3.367,0.6721,,,,,,,,,,,,,,,
71,2024-03-20 23:00:00,67833.3,3515.24,191.9564,409.4,0.6112,84.72,0.64031,18.414,0.152146,2.601,1.0103,11.9025,120.144,3.367,0.6721,,,,,,,,,,,,,,,
72,2024-03-21 00:00:00,67660.9,3517.15,193.0182,408.45,0.60857,84.86,0.63965,18.36,0.151576,2.5898,1.0034,11.8814,120.339,3.38,0.6721,,,,,,,,,,,,,,,
73,2024-03-21 00:00:00,67660.9,3517.15,193.0182,408.45,0.60857,84.86,0.63965,18.36,0.151576,2.5898,1.0034,11.8814,120.339,3.38,0.6721,,,,,,,,,,,,,,,
74,2024-03-21 01:00:00,67802.7,3528.29,191.8184,408.63,0.60935,84.84,0.64141,18.399,0.151194,2.5238,1.0025,11.8871,120.196,3.387,0.6758,,,,,,,,,,,,,,,
75,2024-03-21 01:00:00,67802.7,3528.29,191.8184,408.63,0.60935,84.84,0.64141,18.399,0.151194,2.5238,1.0025,11.8871,120.196,3.387,0.6758,,,,,,,,,,,,,,,
76,2024-03-21 02:00:00,67530.0,3540.86,192.1192,407.15,0.60983,85.6,0.64209,18.413,0.150444,2.5689,1.003,11.9274,120.207,3.407,0.6757,,,,,,,,,,,,,,,
77,2024-03-21 02:00:00,67530.0,3540.86,192.1192,407.15,0.60983,85.6,0.64209,18.413,0.150444,2.5689,1.003,11.9274,120.207,3.407,0.6757,,,,,,,,,,,,,,,
78,2024-03-21 03:00:00,66652.8,3511.36,190.2978,406.56,0.6073,85.53,0.63689,18.323,0.150156,2.4612,0.9962,11.8641,119.388,3.371,0.6689,,,,,,,,,,,,,,,
79,2024-03-21 03:00:00,66652.8,3511.36,190.2978,406.56,0.6073,85.53,0.63689,18.323,0.150156,2.4612,0.9962,11.8641,119.388,3.371,0.6689,,,,,,,,,,,,,,,
80,2024-03-21 04:00:00,66719.4,3495.62,188.4058,412.46,0.6069,85.14,0.63259,18.217,0.150193,2.4043,0.9915,11.7524,118.684,3.348,0.6634,,,,,,,,,,,,,,,
81,2024-03-21 04:00:00,66719.4,3495.62,188.4058,412.46,0.6069,85.14,0.63259,18.217,0.150193,2.4043,0.9915,11.7524,118.684,3.348,0.6634,,,,,,,,,,,,,,,
82,2024-03-21 05:00:00,67016.4,3510.91,189.1252,423.02,0.60449,84.71,0.63224,18.147,0.149835,2.4439,0.9932,11.7799,118.664,3.35,0.665,,,,,,,,,,,,,,,
83,2024-03-21 05:00:00,67016.4,3510.91,189.1252,423.02,0.60449,84.71,0.63224,18.147,0.149835,2.4439,0.9932,11.7799,118.664,3.35,0.665,,,,,,,,,,,,,,,
84,2024-03-21 06:00:00,66968.1,3507.83,190.5428,419.42,0.60518,84.5,0.63067,18.13,0.151453,2.4507,0.9931,11.8933,118.672,3.331,0.6631,,,,,,,,,,,,,,,
85,2024-03-21 06:00:00,66968.1,3507.83,190.5428,419.42,0.60518,84.5,0.63067,18.13,0.151453,2.4507,0.9931,11.8933,118.672,3.331,0.6631,,,,,,,,,,,,,,,
